speaker,azi,elev,dist
1,-6.25,-8.54,3.03
2,47.8,-9.7,2.67
3,88.0,-12.47,2.08
4,133.3,-9.78,2.65
5,-179.8,-8.71,2.97
6,-123.1,-8.23,3.14
7,-89.73,-9.55,2.71
8,-57.89,-8.18,3.16
9,18.07,6.81,3.46
10,66.32,9.4,2.51
11,118.7,8.82,2.67
12,158.2,6.95,3.39
13,-156.2,6.59,3.58
14,-118.9,7.27,3.24
15,-66.94,7.3,3.23
16,-25.11,6.73,3.5
17,43.45,32.84,1.59
18,135.4,32.74,1.59
19,-138.4,32.59,1.58
20,-45.96,32.76,1.64
21,-0.0,90.0,1.3
