speaker,x,y,z
1,0.39,3.61,0.0
2,2.83,3.11,0.25
3,3.49,0.0,0.0
4,2.92,-3.92,0.29
5,0.19,-4.67,0.0
6,-2.1,-3.86,0.26
7,-2.85,-0.0,0.0
8,-2.88,3.05,0.25
9,0.0,3.05,0.96
10,2.5,1.44,0.99
11,2.5,-1.44,0.99
12,0.0,-3.3,1.04
13,-2.5,-1.44,0.99
14,-2.5,1.44,0.99
15,0.74,1.27,1.23
16,1.4,0.0,1.21
17,0.74,-1.27,1.23
18,-0.74,-1.27,1.23
19,-1.4,-0.0,1.21
20,-0.74,1.27,1.23
21,0.0,0.0,1.56
